project_id,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.1stF,1st Floor,4,26,20,-30,10-Dec-25,10-Jan-26,26-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.2ndF,2nd Floor,4,27,21,3,20-Dec-25,20-Jan-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.3rdF,3rd Floor,4,27,21,22,30-Dec-25,1-Feb-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.4thF,4th Floor,4,27,21,55,14-Jan-26,15-Feb-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.5thF,5th Floor,4,27,21,101,24-Jan-26,24-Feb-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.6thF,6th Floor,4,27,21,131,3-Feb-26,5-Mar-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.7thF,7th Floor,4,27,21,159,14-Feb-26,21-Mar-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.8thF,8th Floor,4,27,21,185,28-Feb-26,4-Apr-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B01.SUP.RF,Roof Floor,3,24,18,208,15-Mar-26,16-Apr-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02,B02,38,176,21,200,11-Sep-25,12-Apr-26,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUB,Substructre,15,176,21,191,11-Sep-25,12-Apr-26,11-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUB.1,Replacement,1,8,0,,11-Sep-25,20-Sep-25,11-Sep-25,20-Sep-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUB.F,Footing,4,24,0,,7-Oct-25,3-Nov-25,7-Oct-25,3-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUB.2ndB,Basement 2,6,126,21,191,10-Nov-25,12-Apr-26,15-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUB.2ndB.2,S.O.G,2,21,21,191,15-Mar-26,12-Apr-26,,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUB.1stB,Basement 1,4,27,0,,20-Nov-25,21-Dec-25,19-Oct-25,31-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUP,Superstructure,23,95,21,200,25-Nov-25,22-Mar-26,19-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUP.GF,Ground Floor,4,27,21,-51,25-Nov-25,25-Dec-25,19-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUP.1stF,1st Floor,4,27,21,6,15-Dec-25,15-Jan-26,19-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUP.2ndF,2nd Floor,4,27,21,55,25-Dec-25,27-Jan-26,19-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUP.3rdF,3rd Floor,4,27,21,106,14-Jan-26,15-Feb-26,19-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUP.4thF,4th Floor,4,27,21,158,29-Jan-26,1-Mar-26,19-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P02.B02.SUP.RF,Roof Floor,3,24,21,200,18-Feb-26,22-Mar-26,25-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01,Part 01,99,208,21,205,13-Sep-25,21-May-26,21-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03,B03,38,132,21,200,27-Sep-25,2-Mar-26,27-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUB,Substructre,15,125,21,193,27-Sep-25,22-Feb-26,27-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUB.1,Replacement,1,18,0,,27-Sep-25,18-Oct-25,27-Sep-25,18-Oct-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUB.F,Footing,4,24,0,,11-Oct-25,6-Nov-25,11-Oct-25,6-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUB.2ndB,Basement 2,6,88,21,193,10-Nov-25,22-Feb-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUB.2ndB.1,S.O.G,2,21,21,193,29-Jan-26,22-Feb-26,,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUB.1stB,Basement 1,4,27,0,,20-Nov-25,21-Dec-25,1-Jan-26,12-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUP,Superstructure,23,78,21,200,30-Nov-25,2-Mar-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUP.GF,Ground Floor,4,27,21,-47,30-Nov-25,30-Dec-25,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUP.1stF,1st Floor,4,27,21,0,10-Dec-25,11-Jan-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUP.2ndF,2nd Floor,4,27,21,55,20-Dec-25,20-Jan-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUP.3rdF,3rd Floor,4,27,21,108,30-Dec-25,1-Feb-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUP.4thF,4th Floor,4,27,21,162,19-Jan-26,19-Feb-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B03.SUP.RF,Roof Floor,3,24,21,200,3-Feb-26,2-Mar-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04,B04,61,208,21,205,13-Sep-25,21-May-26,21-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUB,Substructre,22,180,21,205,13-Sep-25,19-Apr-26,21-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUB.1,Replacement,1,18,0,,21-Oct-25,10-Nov-25,21-Oct-25,10-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUB.F,Footing,4,39,0,,21-Sep-25,5-Nov-25,21-Sep-25,5-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUB.2ndB,Basement 2,12,180,21,205,13-Sep-25,19-Apr-26,1-Nov-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUB.2ndB.1,Water Tank,5,30,0,,13-Sep-25,18-Oct-25,1-Nov-25,30-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUB.2ndB.2,S.O.G,2,21,21,205,25-Mar-26,19-Apr-26,,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUB.1stB,Basement 1,5,30,0,,30-Nov-25,3-Jan-26,1-Jan-26,10-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP,Superstructure,39,129,21,205,15-Dec-25,21-May-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.GF,Ground Floor,4,27,21,-45,15-Dec-25,15-Jan-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.1stF,1st Floor,4,27,21,-19,25-Dec-25,27-Jan-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.2ndF,2nd Floor,4,27,21,15,10-Jan-26,10-Feb-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.3rdF,3rd Floor,4,27,21,49,24-Jan-26,24-Feb-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.4thF,4th Floor,4,27,21,81,8-Feb-26,10-Mar-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.5thF,5th Floor,4,27,21,113,28-Feb-26,4-Apr-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.6thF,6th Floor,4,27,21,140,15-Mar-26,20-Apr-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.7thF,7th Floor,4,27,21,165,4-Apr-26,5-May-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.8thF,8th Floor,4,27,21,189,19-Apr-26,19-May-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.S.P01.B04.SUP.RF,Roof Floor,3,24,21,205,25-Apr-26,21-May-26,1-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A,Approval,193,207,31,205,25-Sep-25,7-Jun-26,23-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02,Part 02,94,177,31,205,25-Sep-25,28-Apr-26,23-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01,B01,56,171,31,205,2-Oct-25,28-Apr-26,23-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUB,Substructre,17,164,10,197,2-Oct-25,20-Apr-26,23-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUB.1,Replacement,1,10,0,,2-Oct-25,14-Oct-25,2-Oct-25,23-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUB.F,Footing,4,19,0,,23-Oct-25,13-Nov-25,23-Sep-25,27-Oct-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUB.2ndB,Basement 2,7,114,10,197,1-Dec-25,20-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUB.2ndB.1,S.O.G,2,13,10,197,5-Apr-26,20-Apr-26,,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUB.1stB,Basement 1,5,22,0,,8-Dec-25,1-Jan-26,1-Feb-26,2-Apr-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP,Superstructure,39,112,31,205,11-Dec-25,28-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.GF,Ground Floor,4,19,13,-60,11-Dec-25,1-Jan-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.1stF,1st Floor,4,18,12,-30,31-Dec-25,21-Jan-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.2ndF,2nd Floor,4,19,13,3,11-Jan-26,2-Feb-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.3rdF,3rd Floor,4,19,13,22,21-Jan-26,12-Feb-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.4thF,4th Floor,4,19,13,55,5-Feb-26,26-Feb-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.5thF,5th Floor,4,19,13,101,15-Feb-26,8-Mar-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.6thF,6th Floor,4,19,13,131,24-Feb-26,22-Mar-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.7thF,7th Floor,4,19,13,159,7-Mar-26,1-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.8thF,8th Floor,4,19,13,185,25-Mar-26,16-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B01.SUP.RF,Roof Floor,3,16,28,208,9-Apr-26,28-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02,B02,38,174,13,200,25-Sep-25,25-Apr-26,25-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUB,Substructre,15,174,13,191,25-Sep-25,25-Apr-26,25-Sep-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUB.1,Replacement,1,10,0,,25-Sep-25,7-Oct-25,25-Sep-25,7-Oct-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUB.F,Footing,4,16,0,,28-Oct-25,15-Nov-25,1-Dec-25,11-Dec-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUB.2ndB,Basement 2,6,118,13,191,1-Dec-25,25-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUB.2ndB.SOG,S.O.G,2,13,13,191,9-Apr-26,25-Apr-26,,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUB.1stB,Basement 1,4,19,0,,11-Dec-25,1-Jan-26,1-Feb-26,17-Feb-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUP,Superstructure,23,87,13,200,16-Dec-25,2-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUP.GF,Ground Floor,4,19,13,-41,16-Dec-25,6-Jan-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUP.1stF,1st Floor,4,19,13,6,5-Jan-26,28-Jan-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUP.2ndF,2nd Floor,4,19,13,55,17-Jan-26,8-Feb-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUP.3rdF,3rd Floor,4,19,13,106,5-Feb-26,26-Feb-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUP.4thF,4th Floor,4,19,13,158,19-Feb-26,12-Mar-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P02.B02.SUP.RF,Roof Floor,3,16,13,200,11-Mar-26,2-Apr-26,1-Feb-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01,Part 01,99,200,23,205,4-Oct-25,7-Jun-26,7-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03,B03,38,134,13,200,7-Oct-25,14-Mar-26,7-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUB,Substructre,15,127,13,193,7-Oct-25,5-Mar-26,7-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUB.4,Replacement,1,10,0,,7-Oct-25,18-Oct-25,7-Oct-25,18-Oct-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUB.1,Footing,4,16,0,,1-Nov-25,18-Nov-25,30-Nov-25,10-Dec-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUB.3,Basement 2,6,80,13,193,1-Dec-25,5-Mar-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUB.3.2,S.O.G,2,13,13,193,19-Feb-26,5-Mar-26,,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUB.2,Basement 1,4,19,0,,11-Dec-25,1-Jan-26,1-Jan-26,25-Mar-26,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUP,Superstructure,23,70,13,200,21-Dec-25,14-Mar-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUP.GF,Ground Floor,4,19,13,-45,21-Dec-25,12-Jan-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUP.1stF,1st Floor,4,19,13,0,31-Dec-25,22-Jan-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUP.2ndF,2nd Floor,4,19,13,55,11-Jan-26,2-Feb-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUP.3rdF,3rd Floor,4,19,13,108,21-Jan-26,12-Feb-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUP.4thF,4th Floor,4,19,13,162,10-Feb-26,3-Mar-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B03.SUP.RF,Roof Floor,3,16,13,200,24-Feb-26,14-Mar-26,7-Jan-26,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04,B04,61,200,23,205,4-Oct-25,7-Jun-26,7-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04.SUB,Substructre,22,162,13,205,4-Oct-25,19-Apr-26,7-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04.SUB.1,Replacement,1,10,0,,11-Nov-25,22-Nov-25,11-Nov-25,22-Nov-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04.SUB.F,Footing,4,31,0,,13-Oct-25,17-Nov-25,30-Nov-25,10-Dec-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04.SUB.2ndF,Basement 2,12,162,13,205,4-Oct-25,19-Apr-26,7-Oct-25,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04.SUB.2ndF.WT,Water Tank,5,22,0,,4-Oct-25,29-Oct-25,7-Oct-25,17-Dec-25,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04.SUB.2ndF.SOG,S.O.G,2,13,13,205,4-Apr-26,19-Apr-26,,,0,0,0,0,0
The Big -P.01-UP-20-April-26,The Big - P.01 - UP-20-April-26.EN.2.A.P01.B04.SUB.1stB,Basement 1,5,22,0,,21-Dec-25,15-Jan-26,1-Feb-26,5-Mar-26,0,0,0,0,0
